SKU,Nombre,Categoria,Imagen local,URL para WooCommerce,Fuente
prod-34599,Ácido Acetilsalicilico 100 mg 100 comprimidos Pasteur,Medicamentos,/products/importadas/prod-34599-acido-acetilsalicilico-100-mg-100-comprimidos-pasteur-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-34599-acido-acetilsalicilico-100-mg-100-comprimidos-pasteur-dr-simi.jpg,archivo_local_por_sku
prod-49306,Ácido Mefenamico 500 mg 10 comprimidos Curae,Medicamentos,/products/importadas/prod-49306-acido-mefenamico-500-mg-10-comprimidos-curae-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49306-acido-mefenamico-500-mg-10-comprimidos-curae-dr-simi.jpg,archivo_local_por_sku
prod-27155,"Acifin 10 comprimidos Masticables (Magaldrate 480 mg, Simeticona 100 mg)",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-7302,Actan 20 mg 30 cápsulas (Fluoxetina 20 mg),Medicamentos,/products/medicamentos/prod-7302-actan-20-mg-30-capsulas-fluoxetina-20-mg.jpg,http://farmacia-andes.abc/products/medicamentos/prod-7302-actan-20-mg-30-capsulas-fluoxetina-20-mg.jpg,archivo_local_por_sku
prod-16792,Actrapid Hm 100 UI 10 ml (Insulina Soluble Humana 100 UI/1 ml),Medicamentos,/products/medicamentos/prod-16792-actrapid-hm-100-ui-10-ml-insulina-soluble-humana-100-ui-1-ml.jpg,http://farmacia-andes.abc/products/medicamentos/prod-16792-actrapid-hm-100-ui-10-ml-insulina-soluble-humana-100-ui-1-ml.jpg,archivo_local_por_sku
prod-14842,Actron 200 mg 10 cápsulas Blíster (Ibuprofeno 200 mg),Medicamentos,/products/medicamentos/prod-14842-actron-200-mg-10-capsulas-blister-ibuprofeno-200-mg.jpg,http://farmacia-andes.abc/products/medicamentos/prod-14842-actron-200-mg-10-capsulas-blister-ibuprofeno-200-mg.jpg,archivo_local_por_sku
prod-49625,"Acuode 50,000 UI 4 Sob (Colecalciferol 0,5 g)",Medicamentos,/products/medicamentos/prod-49625-acuode-50-000-ui-4-sob-colecalciferol-0-5-g.jpg,http://farmacia-andes.abc/products/medicamentos/prod-49625-acuode-50-000-ui-4-sob-colecalciferol-0-5-g.jpg,archivo_local_por_sku
prod-30594,"Adapac Gel dermatológico 0,1% 30 g (Adapaleno 0,1%)",Medicamentos,/products/medicamentos/prod-30594-adapac-gel-dermatologico-0-1-30-g-adapaleno-0-1.jpg,http://farmacia-andes.abc/products/medicamentos/prod-30594-adapac-gel-dermatologico-0-1-30-g-adapaleno-0-1.jpg,archivo_local_por_sku
prod-49508,"Adorlan 25/25 10 comprimidos (Diclofenaco 25 mg, Tramadol 25 mg)",Medicamentos,/products/medicamentos/prod-49508-adorlan-25-25-10-comprimidos-diclofenaco-25-mg-tramadol-25-mg.jpg,http://farmacia-andes.abc/products/medicamentos/prod-49508-adorlan-25-25-10-comprimidos-diclofenaco-25-mg-tramadol-25-mg.jpg,archivo_local_por_sku
prod-49365,Adrisin comprimidos sublingual 50,Homeopatía,/products/suero.svg,,placeholder_o_no_importable
prod-7303,"Aero-itan 20 cápsulas (Clordiazepoxido 5 mg, Metoclopramida 5 mg, Simeticona 100 mg)",Medicamentos,/products/medicamentos/prod-7303-aero-itan-20-capsulas-clordiazepoxido-5-mg-metoclopramida-5-mg-simetic.jpg,http://farmacia-andes.abc/products/medicamentos/prod-7303-aero-itan-20-capsulas-clordiazepoxido-5-mg-metoclopramida-5-mg-simetic.jpg,archivo_local_por_sku
prod-17141,Aerocamara Universal Ad/Es Sil,Medicamentos,/products/importadas/prod-17141-aerocamara-universal-ad-es-sil-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-17141-aerocamara-universal-ad-es-sil-dr-simi.jpg,archivo_local_por_sku
prod-4876,"Aerogastrol 20 cápsulas (Clordiazepoxido 5 mg, Metoclopramida 5 mg, Simeticona 100 mg)",Medicamentos,/products/importadas/prod-4876-aerogastrol-20-capsulas-clordiazepoxido-5-mg-metoclopramida-5-mg-simeticona--dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-4876-aerogastrol-20-capsulas-clordiazepoxido-5-mg-metoclopramida-5-mg-simeticona--dr-simi.jpg,archivo_local_por_sku
prod-32356,"Aftagel Gel Bucal 20 g (Benzocaina 5 g, Cetilpiridinio 0,5 g)",Medicamentos,/products/medicamentos/prod-32356-aftagel-gel-bucal-20-g-benzocaina-5-g-cetilpiridinio-0-5-g.jpg,http://farmacia-andes.abc/products/medicamentos/prod-32356-aftagel-gel-bucal-20-g-benzocaina-5-g-cetilpiridinio-0-5-g.jpg,archivo_local_por_sku
prod-5780,"Agua Del Carmen 40 ml (Clavo Olor 13 mg, Limon 113 mg, Melisa 113 mg, Menta 104 mg)",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-49527,Aguja Des Hipodermica 25GX 5/8 1 Un,Accesorios,/products/suero.svg,,placeholder_o_no_importable
prod-41453,Aguja Hipodermica 21GX 1-1/2,Accesorios,/products/suero.svg,,placeholder_o_no_importable
prod-50010,Aguja Hipodermica 23 g x 1 Unidad,Accesorios,/products/importadas/prod-50010-aguja-hipodermica-23-g-x-1-unidad-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-50010-aguja-hipodermica-23-g-x-1-unidad-dr-simi.jpg,archivo_local_por_sku
prod-49746,Aguja Pt Lapiz 32GX 5/32 1 Un,Accesorios,/products/suero.svg,,placeholder_o_no_importable
prod-50190,Alcohol 70% Isopropilico Spray x 290 Cc Difem (Dm),Accesorios,/products/suero.svg,,placeholder_o_no_importable
prod-49763,Alcohol Desn 70° Santepharma 250 ml,Accesorios,/products/suero.svg,,placeholder_o_no_importable
prod-49697,Alcohol Gel Neutro 70% 60CC,Higiene,/products/alcohol-gel.svg,,placeholder_o_no_importable
prod-50081,Alcohol Pad,Higiene,/products/alcohol-gel.svg,,placeholder_o_no_importable
prod-45707,"Alergiol Forte 0,2% 5 ml solución oftálmica (Olopatadina 0,2%)",Medicamentos,/products/medicamentos/prod-45707-alergiol-forte-0-2-5-ml-solucion-oftalmica-olopatadina-0-2.jpg,http://farmacia-andes.abc/products/medicamentos/prod-45707-alergiol-forte-0-2-5-ml-solucion-oftalmica-olopatadina-0-2.jpg,archivo_local_por_sku
prod-36007,"Alerpriv jarabe 2,5 mg/5 ml 100 ml Levocetirizina",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-50045,Alervit Forte x 60 Cápsulas (Vitalab) (Jengibre 1/1),Cuidado familiar,/products/suero.svg,,placeholder_o_no_importable
prod-13632,Alexia Forte 180 mg 30 comprimidos (Fexofenadina 180 mg),Medicamentos,/products/medicamentos/prod-13632-alexia-forte-180-mg-30-comprimidos-fexofenadina-180-mg.jpg,http://farmacia-andes.abc/products/medicamentos/prod-13632-alexia-forte-180-mg-30-comprimidos-fexofenadina-180-mg.jpg,archivo_local_por_sku
prod-49421,Alfexa 120 Mg(fexofenadina) 180 mg 30 comprimidos,Medicamentos,/products/medicamentos/prod-49421-alfexa-120-mg-fexofenadina-180-mg-30-comprimidos.jpg,http://farmacia-andes.abc/products/medicamentos/prod-49421-alfexa-120-mg-fexofenadina-180-mg-30-comprimidos.jpg,archivo_local_por_sku
prod-40179,Alflorex 30 cápsulas (Probioticos 1 mg),Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-30730,Algiafin jarabe 60 ml Paracetamol,Medicamentos,/products/medicamentos/algiafin-paracetamol-120mg-5ml-60ml.jpg,http://farmacia-andes.abc/products/medicamentos/algiafin-paracetamol-120mg-5ml-60ml.jpg,override_json
prod-12320,Algodon Corriente 100 g,Medicamentos,/products/medicamentos/prod-12320-algodon-corriente-100-g.jpg,http://farmacia-andes.abc/products/medicamentos/prod-12320-algodon-corriente-100-g.jpg,archivo_local_por_sku
prod-12322,Algodon Corriente 50 g,Medicamentos,/products/importadas/prod-12322-algodon-corriente-50-g-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-12322-algodon-corriente-50-g-dr-simi.jpg,archivo_local_por_sku
prod-193,Algodon Prensado 100 g,Medicamentos,/products/medicamentos/prod-193-algodon-prensado-100-g.jpg,http://farmacia-andes.abc/products/medicamentos/prod-193-algodon-prensado-100-g.jpg,archivo_local_por_sku
prod-194,Algodon Prensado 250 g,Medicamentos,/products/medicamentos/prod-194-algodon-prensado-250-g.jpg,http://farmacia-andes.abc/products/medicamentos/prod-194-algodon-prensado-250-g.jpg,archivo_local_por_sku
prod-49997,Alividol 1000 mg 20 comprimidos (Paracetamol 1000 mg),Medicamentos,/products/medicamentos/alividol-opko-1000mg-20comp.webp,http://farmacia-andes.abc/products/medicamentos/alividol-opko-1000mg-20comp.webp,override_json
prod-35577,"All Out Piojos Locion + Peine (Ciclometicona, Dimeticona, Miristato De Isopropilo)",Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-49534,"Aloe Sup Alimentario 30 cápsulas (Aloina 0,05 mg, Calcio 0,062 g, Magnesio 0,05 g)",Medicamentos,/products/importadas/prod-49534-aloe-sup-alimentario-30-capsulas-aloina-0-05-mg-calcio-0-062-g-magnesio-0-05-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49534-aloe-sup-alimentario-30-capsulas-aloina-0-05-mg-calcio-0-062-g-magnesio-0-05-dr-simi.jpg,archivo_local_por_sku
prod-49837,"Aloe Vera Gel 1LT Sab Maracuya Spring Life (Aloe Vera 0,09%)",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-49185,Alopurino bioequivalente comprimidos 100 mg 20,Medicamentos,/products/medicamentos/prod-49185-alopurino-bioequivalente-comprimidos-100-mg-20.jpg,http://farmacia-andes.abc/products/medicamentos/prod-49185-alopurino-bioequivalente-comprimidos-100-mg-20.jpg,archivo_local_por_sku
prod-49186,Alopurino bioequivalente comprimidos 300 mg 20,Medicamentos,/products/medicamentos/prod-49186-alopurino-bioequivalente-comprimidos-300-mg-20.jpg,http://farmacia-andes.abc/products/medicamentos/prod-49186-alopurino-bioequivalente-comprimidos-300-mg-20.jpg,archivo_local_por_sku
prod-10042,"Alprazolam 0,5 mg 30 comprimidos",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-16790,Altazinc Gtas 5 mg 30 ml (Sulfato De Zinc 5 mg/1 ml),Cuidado familiar,/products/showcase/altazinc-gotas-zinc-30ml.jpg,http://farmacia-andes.abc/products/showcase/altazinc-gotas-zinc-30ml.jpg,override_comun
prod-9552,Aluminio Hidroxido 6% 180 ml Chile,Medicamentos,/products/medicamentos/prod-9552-aluminio-hidroxido-6-180-ml-chile.jpg,http://farmacia-andes.abc/products/medicamentos/prod-9552-aluminio-hidroxido-6-180-ml-chile.jpg,archivo_local_por_sku
prod-32188,Always Ultra Fina M S 24 Un,Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-49657,"Ambilan Bid Forte 800/57 (Ácido Clavulanico 57 mg, Amoxicilina 800 mg)",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-50111,Ambrosoli Dfulces Frutas 100 Un,Cuidado familiar,/products/suero.svg,,placeholder_o_no_importable
prod-49411,Aminta (Desogestrel) 75 mcg 28 comprimidos,Medicamentos,/products/medicamentos/prod-49411-aminta-desogestrel-75-mcg-28-comprimidos.jpg,http://farmacia-andes.abc/products/medicamentos/prod-49411-aminta-desogestrel-75-mcg-28-comprimidos.jpg,archivo_local_por_sku
prod-9556,Amiodarona 200 mg 20 comprimidos Mintlab,Medicamentos,/products/medicamentos/prod-9556-amiodarona-200-mg-20-comprimidos-mintlab.jpg,http://farmacia-andes.abc/products/medicamentos/prod-9556-amiodarona-200-mg-20-comprimidos-mintlab.jpg,archivo_local_por_sku
prod-30900,Amitriptilina 25 mg 24 comprimidos Chile,Medicamentos,/products/medicamentos/prod-30900-amitriptilina-25-mg-24-comprimidos-chile.jpg,http://farmacia-andes.abc/products/medicamentos/prod-30900-amitriptilina-25-mg-24-comprimidos-chile.jpg,archivo_local_por_sku
prod-50182,Amitriptilina Clorhidrato 25 mg x 100 comprimidos,Medicamentos,/products/medicamentos/prod-50182-amitriptilina-clorhidrato-25-mg-x-100-comprimidos.jpg,http://farmacia-andes.abc/products/medicamentos/prod-50182-amitriptilina-clorhidrato-25-mg-x-100-comprimidos.jpg,archivo_local_por_sku
prod-49474,"Amlipros 5/40 30 comprimidos (Amlodipino 5 mg, Olmesartan 40 mg)",Medicamentos,/products/medicamentos/prod-49474-amlipros-5-40-30-comprimidos-amlodipino-5-mg-olmesartan-40-mg.jpg,http://farmacia-andes.abc/products/medicamentos/prod-49474-amlipros-5-40-30-comprimidos-amlodipino-5-mg-olmesartan-40-mg.jpg,archivo_local_por_sku
prod-49322,Amlodipino 10 mg comprimidos Pasteur,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-33717,Amlodipino 5 mg 30 comprimidos Mintlab,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-29652,Ammen Col 210 ml + Col 75 ml,Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-21706,Amobiotic 1 g 20 comprimidos (Amoxicilina 1000 mg),Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-16540,Amobiotic Bid 1000/5 ml 90 ml (Amoxicilina 1000 mg/5 ml),Medicamentos,/products/medicamentos/prod-16540-amobiotic-bid-1000-5-ml-90-ml-amoxicilina-1000-mg-5-ml.jpg,http://farmacia-andes.abc/products/medicamentos/prod-16540-amobiotic-bid-1000-5-ml-90-ml-amoxicilina-1000-mg-5-ml.jpg,archivo_local_por_sku
prod-7305,Amoval 1 g 14 comprimidos (Amoxicilina 1000 mg),Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-49199,Amoxici Sus 250 mg/5 ml 60M (Amoxicilina 250 mg/5 ml),Medicamentos,/products/importadas/prod-49199-amoxici-sus-250-mg-5-ml-60m-amoxicilina-250-mg-5-ml-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49199-amoxici-sus-250-mg-5-ml-60m-amoxicilina-250-mg-5-ml-dr-simi.jpg,archivo_local_por_sku
prod-50203,Amoxicilina/Ácido Clavulanico 875/125 mg,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-49958,Amoxicilina 500 mg + Ácido Clavulanico 125 mg,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-39038,Amoxicilina 500 mg 21 cápsulas (Bioequivalente)mintlab,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-30943,Amoxicilina 500 mg/5 ml 60 ml Opko,Medicamentos,/products/medicamentos/prod-30943-amoxicilina-500-mg-5-ml-60-ml-opko.jpg,http://farmacia-andes.abc/products/medicamentos/prod-30943-amoxicilina-500-mg-5-ml-60-ml-opko.jpg,archivo_local_por_sku
prod-31972,Amoxicilina 750 mg 10 comprimidos Mintlab,Medicamentos,/products/medicamentos/prod-31972-amoxicilina-750-mg-10-comprimidos-mintlab.jpg,http://farmacia-andes.abc/products/medicamentos/prod-31972-amoxicilina-750-mg-10-comprimidos-mintlab.jpg,archivo_local_por_sku
prod-49200,Amoxicilina Sus 500 mg 60*,Medicamentos,/products/importadas/prod-49200-amoxicilina-sus-500-mg-60-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49200-amoxicilina-sus-500-mg-60-dr-simi.jpg,archivo_local_por_sku
prod-49849,Amoxicilina/Ácido Clavulanico 875/125 mg 14 comprimidos,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-32677,"Anacin Clasico 8 comprimidos (Ácido Acetilsalicilico, Cafeina)",Medicamentos,/products/medicamentos/prod-32677-anacin-clasico-8-comprimidos-acido-acetilsalicilico-cafeina.jpg,http://farmacia-andes.abc/products/medicamentos/prod-32677-anacin-clasico-8-comprimidos-acido-acetilsalicilico-cafeina.jpg,archivo_local_por_sku
prod-23768,"Anacin Max 8 comprimidos (Ácido Acetilsalicilico, Cafeina, Paracetamol)",Medicamentos,/products/medicamentos/prod-23768-anacin-max-8-comprimidos-acido-acetilsalicilico-cafeina-paracetamol.jpg,http://farmacia-andes.abc/products/medicamentos/prod-23768-anacin-max-8-comprimidos-acido-acetilsalicilico-cafeina-paracetamol.jpg,archivo_local_por_sku
prod-49675,Anfebutamona 300 mg 30 comprimidos,Medicamentos,/products/importadas/prod-49675-anfebutamona-300-mg-30-comprimidos-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49675-anfebutamona-300-mg-30-comprimidos-dr-simi.jpg,archivo_local_por_sku
prod-49605,"Angeliq 28 comprimidos (Drospirenona 2 mg, Estradiol 1 mg)",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-39064,"Anovulatorios 21 comprimidos recubiertos Andromaco (Etinilestradiol 0,03 mg, Levonorgestrel 0,15 mg)",Medicamentos,/products/medicamentos/prod-39064-anovulatorios-21-comprimidos-recubiertos-andromaco-etinilestradiol-0-0.jpg,http://farmacia-andes.abc/products/medicamentos/prod-39064-anovulatorios-21-comprimidos-recubiertos-andromaco-etinilestradiol-0-0.jpg,archivo_local_por_sku
prod-13405,"Antalin 30 comprimidos (Amitriptilina 12,5 mg, Clordiazepoxido 5 mg)",Medicamentos,/products/medicamentos/prod-13405-antalin-30-comprimidos-amitriptilina-12-5-mg-clordiazepoxido-5-mg.jpg,http://farmacia-andes.abc/products/medicamentos/prod-13405-antalin-30-comprimidos-amitriptilina-12-5-mg-clordiazepoxido-5-mg.jpg,archivo_local_por_sku
prod-29908,"Antiax 6 comprimidos (Magaldrate 480 mg, Simeticona 100 mg)",Medicamentos,/products/importadas/prod-29908-antiax-6-comprimidos-magaldrate-480-mg-simeticona-100-mg-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-29908-antiax-6-comprimidos-magaldrate-480-mg-simeticona-100-mg-dr-simi.jpg,archivo_local_por_sku
prod-48775,Antrofi crema vaginal 1%30 g + 20AP (Promestrieno 1%),Medicamentos,/products/medicamentos/prod-48775-antrofi-crema-vaginal-1-30-g-20ap-promestrieno-1.jpg,http://farmacia-andes.abc/products/medicamentos/prod-48775-antrofi-crema-vaginal-1-30-g-20ap-promestrieno-1.jpg,archivo_local_por_sku
prod-39008,"Anulette Cd 28 comprimidos Re (Etinilestradiol 0,03 mg, Levonorgestrel 0,15 mg)",Medicamentos,/products/medicamentos/prod-39008-anulette-cd-28-comprimidos-re-etinilestradiol-0-03-mg-levonorgestrel-0.jpg,http://farmacia-andes.abc/products/medicamentos/prod-39008-anulette-cd-28-comprimidos-re-etinilestradiol-0-03-mg-levonorgestrel-0.jpg,archivo_local_por_sku
prod-39009,"Anulette 21 comprimidos (Etinilestradiol 0,03 mg, Levonorgestrel 0,15 mg)",Medicamentos,/products/medicamentos/prod-39009-anulette-21-comprimidos-etinilestradiol-0-03-mg-levonorgestrel-0-15-mg.jpg,http://farmacia-andes.abc/products/medicamentos/prod-39009-anulette-21-comprimidos-etinilestradiol-0-03-mg-levonorgestrel-0-15-mg.jpg,archivo_local_por_sku
prod-46502,Anzap comprimidos recubiertos 10 mg 30 (Olanzapina 10 mg),Medicamentos,/products/importadas/prod-46502-anzap-comprimidos-recubiertos-10-mg-30-olanzapina-10-mg-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-46502-anzap-comprimidos-recubiertos-10-mg-30-olanzapina-10-mg-dr-simi.jpg,archivo_local_por_sku
prod-28240,"Apeticat jarabe 100 ml (L-carnitina 1,6 g)",Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-49556,Apetipet jarabe 100 ml (L-carnitina 5 g),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-48592,"Apivit Inf comprimidos Mast 30 (Propoleo, Sucralosa)",Cuidado familiar,/products/suero.svg,,placeholder_o_no_importable
prod-49901,Aposito Gasa + Algodón 10X 10 Cm,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-34723,Aposito Hidrocoloide 10X 10CM 1 Un,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-50194,Aposito Hidrogel Tubo x 15 g (Dm),Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-28102,"Aposito Transparente 10,12cm",Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-16260,Aqua Flex Cep Norm/Suave 2X 1,Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-33404,Aquaf l Teeth Cep Suave 3-5A,Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-49283,Aquafresh Pasta Triple Protection 158 g,Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-50120,Aquafresh Pasta Triple Protection 95 g,Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-39257,Aquaphor Pomada Rep 55 ml Eucerin,Dermocosmética,/products/crema.svg,,placeholder_o_no_importable
prod-46264,Aquarius Manz 0%AZ sin g 500,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-46265,Aquarius Pera 0%AZ sin g 500,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
