Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Categories,Tags,Images,Meta: _farmacia_andes_registro_isp,Meta: _farmacia_andes_principio_activo,Meta: _farmacia_andes_condicion_venta,Meta: _farmacia_andes_requiere_receta,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,prod-15561,"3M Micropore 2,5cm 9,1M con Piel",1,0,visible,Accesorios Medicos. Presentación: 1 Unidad. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Accesorios Medicos. Presentación: 1 Unidad. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,2490,,taxable,1,,0,0,Accesorios,"3M CHILE S.A., Venta libre",,,,Venta libre,no,Marca,3M CHILE S.A.,1,0,Formato,1 Unidad,1,0
simple,prod-49198,Aartam bioequivalente comprimidos recubiertos 500 mg 20 (Metronidazol 500 mg),1,0,visible,Antiinfeccioso vaginal. Presentación: 20 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiinfeccioso vaginal. Presentación: 20 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,8000,,taxable,1,,0,0,Medicamentos,"PINNACLE, Requiere receta",,,,Venta con receta médica,yes,Marca,PINNACLE,1,0,Formato,20 comprimidos,1,0
simple,prod-13055,Ab Antisep Buc 12 comprimidos (Clorhexidina 5 mg),1,0,visible,Antiseptico Bucal. Presentación: 12 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiseptico Bucal. Presentación: 12 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,4990,,taxable,1,,0,0,Medicamentos,"SAVAL, Venta libre",http://farmacia-andes.abc/products/showcase/medicamentos/ab-antisep-buc-12comp.jpg,,,Venta libre,no,Marca,SAVAL,1,0,Formato,12 comprimidos,1,0
simple,prod-13056,"Ab Antitusivo 12 comprimidos (Clorhexidina 5 mg, Noscapina 10 mg)",1,0,visible,Antiseptico Bucal. Presentación: 12 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiseptico Bucal. Presentación: 12 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,5100,,taxable,1,,0,0,Medicamentos,"SAVAL, Venta libre",http://farmacia-andes.abc/products/showcase/medicamentos/ab-antitusivo-12comp.jpg,,,Venta libre,no,Marca,SAVAL,1,0,Formato,12 comprimidos,1,0
simple,prod-202,Abrilar jarabe 100 ml (Extracto Hedera Helix 35 mg/5 ml),1,0,visible,Antitusivo. Presentación: 100 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antitusivo. Presentación: 100 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,6790,,taxable,1,,0,0,Medicamentos,"PHARMA INVESTI, Venta libre",http://farmacia-andes.abc/products/medicamentos/prod-202-abrilar-jarabe-100-ml-extracto-hedera-helix-35-mg-5-ml.jpg,,,Venta libre,no,Marca,PHARMA INVESTI,1,0,Formato,100 mililitros,1,0
simple,prod-49812,Ácido Valproico 250 mg 20 comprimidos,1,0,visible,Anticonvulsionante. Presentación: 20 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Anticonvulsionante. Presentación: 20 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,9000,,taxable,1,,0,0,Medicamentos,"ANDROMACO, Requiere receta",http://farmacia-andes.abc/products/importadas/prod-49812-acido-valproico-250-mg-20-comprimidos-dr-simi.jpg,,,Venta con receta médica,yes,Marca,ANDROMACO,1,0,Formato,20 comprimidos,1,0
simple,prod-46155,Ácido Acetilsalicílico bioequivalente comprimidos 100 mg 100 comprimidos,1,0,visible,Analgesico-antipiretico. Presentación: 100 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Analgesico-antipiretico. Presentación: 100 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,1650,,taxable,1,,0,0,Medicamentos,"CHILE, Venta libre",http://farmacia-andes.abc/products/medicamentos/prod-46155-acido-acetilsalicilico-bioequivalente-comprimidos-100-mg-100-comprimid.jpg,,,Venta libre,no,Marca,CHILE,1,0,Formato,100 comprimidos,1,0
simple,prod-23597,Ácido Valproico 200 mg 30 comprimidos Andromaco,1,0,visible,Anticonvulsionante. Presentación: 30 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Anticonvulsionante. Presentación: 30 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,8490,,taxable,1,,0,0,Medicamentos,"ANDROMACO, Requiere receta",http://farmacia-andes.abc/products/medicamentos/prod-23597-acido-valproico-200-mg-30-comprimidos-andromaco.jpg,,,Venta con receta médica,yes,Marca,ANDROMACO,1,0,Formato,30 comprimidos,1,0
simple,prod-28544,Ácido Valproico 500 mg 30 comprimidos,1,0,visible,Anticonvulsionante. Presentación: 30 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Anticonvulsionante. Presentación: 30 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,9960,,taxable,1,,0,0,Medicamentos,"ANDROMACO, Requiere receta",http://farmacia-andes.abc/products/showcase/medicamentos/acido-valproico-500mg-30comp.jpg,,,Venta con receta médica,yes,Marca,ANDROMACO,1,0,Formato,30 comprimidos,1,0
simple,prod-38316,Aceite De Coco 250 ml (Ace De Coco 250 ml),1,0,visible,Sin Asignacion. Presentación: 250 ml. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Sin Asignacion. Presentación: 250 ml. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,6700,,taxable,1,,0,0,Cuidado familiar,"GREEN MEDICAL, Venta libre",,,,Venta libre,no,Marca,GREEN MEDICAL,1,0,Formato,250 ml,1,0
simple,prod-49854,Aceite De Coco x 30 ml Green Med,1,0,visible,Accesorios Medicos. Presentación: 30 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Accesorios Medicos. Presentación: 30 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,1600,,taxable,1,,0,0,Cuidado familiar,"VARIOS ACCESORIOS, Venta libre",,,,Venta libre,no,Marca,VARIOS ACCESORIOS,1,0,Formato,30 mililitros,1,0
simple,prod-8922,Aceite Ricino Puro 20 ml Valma,1,0,visible,Laxante. Presentación: 20 gramos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Laxante. Presentación: 20 gramos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,2000,,taxable,1,,0,0,Medicamentos,"GENERICOS OFICINALES, Venta libre",http://farmacia-andes.abc/products/showcase/medicamentos/aceite-ricino-puro-valma-20g.jpg,,,Venta libre,no,Marca,GENERICOS OFICINALES,1,0,Formato,20 gramos,1,0
simple,prod-29828,Acemuk polvo para jarabe 100 mg/5 ml (N-acetilcisteina 100 mg/5 ml),1,0,visible,Expectorante. Presentación: 100 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Expectorante. Presentación: 100 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,9790,,taxable,1,,0,0,Medicamentos,"RAFFO, Requiere receta",http://farmacia-andes.abc/products/medicamentos/prod-29828-acemuk-polvo-para-jarabe-100-mg-5-ml-n-acetilcisteina-100-mg-5-ml.jpg,,,Venta con receta médica,yes,Marca,RAFFO,1,0,Formato,100 mililitros,1,0
simple,prod-9541,Acetazolamida 250 mg 20 comprimidos,1,0,visible,Diuretico. Presentación: 20 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Diuretico. Presentación: 20 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,4990,,taxable,1,,0,0,Medicamentos,"MINTLAB, Requiere receta",http://farmacia-andes.abc/products/importadas/prod-9541-acetazolamida-250-mg-20-comprimidos-dr-simi.jpg,,,Venta con receta médica,yes,Marca,MINTLAB,1,0,Formato,20 comprimidos,1,0
simple,prod-31274,Aciclovir 200 mg 24 comprimidos Mintlab,1,0,visible,Antiviral. Presentación: 24 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiviral. Presentación: 24 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,2400,,taxable,1,,0,0,Medicamentos,"MINTLAB, Requiere receta",http://farmacia-andes.abc/products/medicamentos/prod-31274-aciclovir-200-mg-24-comprimidos-mintlab.jpg,,,Venta con receta médica,yes,Marca,MINTLAB,1,0,Formato,24 comprimidos,1,0
simple,prod-49184,Aciclovir bioequivalente comprimidos 400 mg 35,1,0,visible,Antiviral. Presentación: 35 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiviral. Presentación: 35 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,7690,,taxable,1,,0,0,Medicamentos,"CURAESPRING, Requiere receta",http://farmacia-andes.abc/products/importadas/prod-49184-aciclovir-bioequivalente-comprimidos-400-mg-35-dr-simi.jpg,,,Venta con receta médica,yes,Marca,CURAESPRING,1,0,Formato,35 comprimidos,1,0
simple,prod-49320,Aciclovir crema 5% 15 g Hosp,1,0,visible,Antiviral. Presentación: 15 gramos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiviral. Presentación: 15 gramos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,1190,,taxable,1,,0,0,Medicamentos,"HOSPIFARMA, Requiere receta",http://farmacia-andes.abc/products/importadas/prod-49320-aciclovir-crema-5-15-g-hosp-dr-simi.jpg,,,Venta con receta médica,yes,Marca,HOSPIFARMA,1,0,Formato,15 gramos,1,0
simple,prod-39300,Aciclovir crema 5% 15 g l Chile,1,0,visible,Antiviral. Presentación: 15 gramos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiviral. Presentación: 15 gramos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,1280,,taxable,1,,0,0,Medicamentos,"CHILE, Requiere receta",,,,Venta con receta médica,yes,Marca,CHILE,1,0,Formato,15 gramos,1,0
simple,prod-34599,Ácido Acetilsalicilico 100 mg 100 comprimidos Pasteur,1,0,visible,Analgesico-antipiretico. Presentación: 100 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Analgesico-antipiretico. Presentación: 100 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,2990,,taxable,1,,0,0,Medicamentos,"PASTEUR, Venta libre",http://farmacia-andes.abc/products/importadas/prod-34599-acido-acetilsalicilico-100-mg-100-comprimidos-pasteur-dr-simi.jpg,,,Venta libre,no,Marca,PASTEUR,1,0,Formato,100 comprimidos,1,0
simple,prod-49306,Ácido Mefenamico 500 mg 10 comprimidos Curae,1,0,visible,Analgesico-antiinflamatorio. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Analgesico-antiinflamatorio. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,990,,taxable,1,,0,0,Medicamentos,"CURAESPRING, Requiere receta",http://farmacia-andes.abc/products/importadas/prod-49306-acido-mefenamico-500-mg-10-comprimidos-curae-dr-simi.jpg,,,Venta con receta médica,yes,Marca,CURAESPRING,1,0,Formato,10 comprimidos,1,0
simple,prod-27155,"Acifin 10 comprimidos Masticables (Magaldrate 480 mg, Simeticona 100 mg)",1,0,visible,Antiácido-antiflatulento. Presentación: 10 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiácido-antiflatulento. Presentación: 10 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,1300,,taxable,1,,0,0,Medicamentos,"MINTLAB, Venta libre",,,,Venta libre,no,Marca,MINTLAB,1,0,Formato,10 comprimidos,1,0
simple,prod-7302,Actan 20 mg 30 cápsulas (Fluoxetina 20 mg),1,0,visible,Antidepresivo. Presentación: 30 cápsulas. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antidepresivo. Presentación: 30 cápsulas. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,23350,,taxable,1,,0,0,Medicamentos,"SAVAL, Requiere receta",http://farmacia-andes.abc/products/medicamentos/prod-7302-actan-20-mg-30-capsulas-fluoxetina-20-mg.jpg,,,Venta con receta médica,yes,Marca,SAVAL,1,0,Formato,30 cápsulas,1,0
simple,prod-16792,Actrapid Hm 100 UI 10 ml (Insulina Soluble Humana 100 UI/1 ml),1,0,visible,Insulina. Presentación: 10 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Insulina. Presentación: 10 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,36510,,taxable,1,,0,0,Medicamentos,"NOVO NORDISK, Requiere receta",http://farmacia-andes.abc/products/medicamentos/prod-16792-actrapid-hm-100-ui-10-ml-insulina-soluble-humana-100-ui-1-ml.jpg,,,Venta con receta médica,yes,Marca,NOVO NORDISK,1,0,Formato,10 mililitros,1,0
simple,prod-14842,Actron 200 mg 10 cápsulas Blíster (Ibuprofeno 200 mg),1,0,visible,Analgesico-antiinflamatorio. Presentación: 10 cápsulas. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Analgesico-antiinflamatorio. Presentación: 10 cápsulas. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,2500,,taxable,1,,0,0,Medicamentos,"BAYER, Venta libre",http://farmacia-andes.abc/products/medicamentos/prod-14842-actron-200-mg-10-capsulas-blister-ibuprofeno-200-mg.jpg,,,Venta libre,no,Marca,BAYER,1,0,Formato,10 cápsulas,1,0
simple,prod-49625,"Acuode 50,000 UI 4 Sob (Colecalciferol 0,5 g)",1,0,visible,Polivitaminoterapia. Presentación: 4 Sobre. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Polivitaminoterapia. Presentación: 4 Sobre. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,25690,,taxable,1,,0,0,Medicamentos,"ABBOTT LABORATORIES CHILE, Requiere receta",http://farmacia-andes.abc/products/medicamentos/prod-49625-acuode-50-000-ui-4-sob-colecalciferol-0-5-g.jpg,,,Venta con receta médica,yes,Marca,ABBOTT LABORATORIES CHILE,1,0,Formato,4 Sobre,1,0
