SKU,Nombre,Categoria,Fuente,Imagen local,URL fuente,Producto fuente,Estado
prod-46265,Aquarius Pera 0%AZ sin g 500,Medicamentos,,,,,sin coincidencia segura
prod-49334,Aripiprazol 5 mg 30 comprimidos Alembic,Medicamentos,,,,,sin coincidencia segura
prod-38970,Arama Melatonina 3 mg 30 cápsulas,Homeopatía,,,,,sin coincidencia segura
prod-49492,Arama Circalife Melatonina gotas,Medicamentos,,,,,sin coincidencia segura
prod-6473,Arama Vitamina E 400 UI 30 cápsulas,Homeopatía,,,,,sin coincidencia segura
prod-49601,Aripiprazol 10 mg 30 comprimidos bioequivalente,Medicamentos,Dr. Simi,/products/importadas/prod-49601-aripiprazol-10-mg-30-comprimidos-bioequivalente-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/160176/BE0108-1.jpg?v=638987219367200000,Aripiprazol 10 mg 30 comprimidos,descargada
prod-29960,Arnica Gel 100 g Green,Medicamentos,,,,,sin coincidencia segura
prod-50025,Arnika D 6 90 comprimidos (Arnica 2 mg),Homeopatía,,,,,sin coincidencia segura
prod-50161,Arenaria Compuesta,Homeopatía,Dr. Simi,/products/importadas/prod-50161-arenaria-compuesta-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156259/CH5566-1.jpg?v=637964772878200000,Arenaria compuesta solución gotas orales 30 mL,descargada
prod-22440,Arnikaderm Gel 50 g (Arnica 10%),Homeopatía,,,,,sin coincidencia segura
prod-16123,Armonyl Noche con Manzanilla gotas,Medicamentos,,,,,sin coincidencia segura
prod-16478,Asepxia Spot Gel Secante (Ácido Salicilico 2%),Dermocosmética,,,,,sin coincidencia segura
prod-49201,Atorvast bioequivalente comprimidos recubiertos 10MG 30 (Atorvastatina 10 mg),Medicamentos,Dr. Simi,/products/importadas/prod-49201-atorvast-bioequivalente-comprimidos-recubiertos-10mg-30-atorvastatina-10-mg-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/159123/AR2015-1V1.jpg?v=639074524445330000,Atorvastatina 10 mg 30 comprimidos recubiertos,descargada
prod-49202,Atorvast bioequivalente comprimidos recubiertos 20MG 30 (Atorvastatina 20 mg),Medicamentos,Dr. Simi,/products/importadas/prod-49202-atorvast-bioequivalente-comprimidos-recubiertos-20mg-30-atorvastatina-20-mg-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157944/FOTOS-WEB-ECOMMERCE_0031_AR2016-1.jpg?v=638664351286330000,Atorvastatina 20 mg 30 comprimidos recubiertos,descargada
prod-49304,Atorvastatina 10 mg 60 comprimidos (bioequivalente) Msn,Medicamentos,,,,,sin coincidencia segura
prod-30966,Aspirina Forte 650 mg 80 comprimidos (Ácido Acetilsalicilico 650 mg),Medicamentos,,,,,sin coincidencia segura
prod-49705,Atorvastatina 80 mg 30 comprimidos (Chile),Medicamentos,Dr. Simi,/products/importadas/prod-49705-atorvastatina-80-mg-30-comprimidos-chile-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/159784/BE0272-1---LAB-CHILE.jpg?v=638943628022630000,Atorvastatina 80 mg 30 comprimidos recubiertos,descargada
prod-49291,Axe Desp 48 H Frag + Fresc A/P Sec 95 g,Dermocosmética,,,,,sin coincidencia segura
prod-49210,Atorvastatina comprimidos 10 mg x 30 Opko (bioequivalente),Medicamentos,,,,,sin coincidencia segura
prod-45361,Axe Desp Marin A/P Sec 95 g,Dermocosmética,,,,,sin coincidencia segura
prod-39827,Azatioprina 50 mg 100 comprimidos (Bioequivalente)ascend,Medicamentos,,,,,sin coincidencia segura
prod-45360,Axe Desp Musk A/P Sec 95 g,Dermocosmética,,,,,sin coincidencia segura
prod-49190,Azitromic Sus 200 mg 30 ml (Azitromicina 200 mg/5 ml),Medicamentos,Dr. Simi,/products/importadas/prod-49190-azitromic-sus-200-mg-30-ml-azitromicina-200-mg-5-ml-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157090/CH7082-1.jpg?v=638012015219870000,Azitromicina 200 mg/5 mL polvo para suspensión oral 30 mL,descargada
prod-49546,"B Complex Sup Alim 60 cápsulas (Biotina 22,5ug, Vitaminas B 1/1)",Medicamentos,Dr. Simi,/products/importadas/prod-49546-b-complex-sup-alim-60-capsulas-biotina-22-5ug-vitaminas-b-1-1-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156247/CH5543-1.jpg?v=637964772832030000,Complejo B 60 cápsulas,descargada
prod-39967,Babyland Col Lila 210 ml,Dermocosmética,,,,,sin coincidencia segura
prod-39962,Babyland Col Rosada 210 ml,Dermocosmética,,,,,sin coincidencia segura
prod-39087,Babyland Col Pink 260 ml,Dermocosmética,,,,,sin coincidencia segura
prod-33737,B House Little Princ/Princess Mord Prn 007,Medicamentos,,,,,sin coincidencia segura
prod-7884,Babyland Emulsionad 270 ml,Dermocosmética,,,,,sin coincidencia segura
prod-7901,Babyland Talquera Rec 200 g,Dermocosmética,,,,,sin coincidencia segura
prod-7885,Babyland Emulsionad 410 ml,Dermocosmética,,,,,sin coincidencia segura
prod-34694,Bacitracina Neomicina ungüento 15 g Hospifarma,Dermocosmética,,,,,sin coincidencia segura
prod-7900,Babyland Talquera Rec 100 g,Dermocosmética,,,,,sin coincidencia segura
prod-30965,Bacitracina Neomicina ungüento 15 g Mintlab,Dermocosmética,,,,,sin coincidencia segura
prod-7886,Babyland Emulsionad 700 ml,Dermocosmética,,,,,sin coincidencia segura
prod-29811,"Bagomigral 2,5 mg (Naratrip) 2 comprimidos (Naratriptan 2,5 mg)",Medicamentos,,,,,sin coincidencia segura
prod-47374,Bentley Anill Vib D/Ple 1,Medicamentos,Dr. Simi,/products/importadas/prod-47374-bentley-anill-vib-d-ple-1-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157881/FOTOS-WEB-ECOMMERCE_0003_CH5127-1.jpg?v=638664956531300000,Bentley anillo vibrador 3 velocidades,descargada
prod-49555,Bentley Bala Vib,Accesorios,Dr. Simi,/products/importadas/prod-49555-bentley-bala-vib-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157881/FOTOS-WEB-ECOMMERCE_0003_CH5127-1.jpg?v=638664956531300000,Bentley anillo vibrador 3 velocidades,descargada
prod-49495,"Bd Ag Ins 4MMX 0,23mm 5/32X 32 g 1 Un",Accesorios,,,,,sin coincidencia segura
prod-21870,"Bentley Gel Lubricante 50 g (Agua Purificada, Glicerina, Metilparabeno, Propilenglicol, Urea)",Medicamentos,Dr. Simi,/products/importadas/prod-21870-bentley-gel-lubricante-50-g-agua-purificada-glicerina-metilparabeno-propilen-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/160536/CH7472-01.jpg?v=639119639848030000,Bentley Classic lubricante íntimo 50 g,descargada
prod-20424,Ballerina Jab Liq crema Humec 350 ml,Dermocosmética,,,,,sin coincidencia segura
prod-49507,Bepanthol Pomada Regeneradora 30 g,Dermocosmética,Dr. Simi,/products/importadas/prod-49507-bepanthol-pomada-regeneradora-30-g-dr-simi.png,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/158079/FOTOS-WEB-ECOMMERCE_0005_CH6147-1.png?v=639074524701900000,Bepanthol pomada regeneradora 30 g,descargada
prod-40616,Bepanthol ungüento 50 g (Dexpantenol),Dermocosmética,,,,,sin coincidencia segura
prod-45460,"Betacort Cass 0,5 mg/ml 30 (Betametasona 0,5 mg/1 ml)",Medicamentos,,,,,sin coincidencia segura
prod-41110,Bentley Gel Lub Climax Cont 50 g,Medicamentos,Dr. Simi,/products/importadas/prod-41110-bentley-gel-lub-climax-cont-50-g-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/160536/CH7472-01.jpg?v=639119639848030000,Bentley Classic lubricante íntimo 50 g,descargada
prod-1500,Betametasona/Neomicina ungüento 10 g Chile,Dermocosmética,,,,,sin coincidencia segura
prod-34094,"Betavol suspensión Iny 1 ml (Betametasona (Como Dipropionato) 5 mg/1 ml, Betametasona (Como Fosfato Disodico) 2 mg/1 ml)",Medicamentos,Dr. Simi,/products/importadas/prod-34094-betavol-suspension-iny-1-ml-betametasona-como-dipropionato-5-mg-1-ml-betamet-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157368/CH6067-1200X1200PX.jpg?v=638189467919770000,Betavol betametasona dipropionato 5 mg/mL betametasona fosfato disodico 2 mg/mL ampolla suspensión inyectable 1 mL,descargada
prod-15690,Bevitex gotas 5 mg/ml 20 ml (Pargeverina Clorhidrato 5 mg/1 ml),Cuidado familiar,Dr. Simi,/products/importadas/prod-15690-bevitex-gotas-5-mg-ml-20-ml-pargeverina-clorhidrato-5-mg-1-ml-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156424/CH5807-1.jpg?v=637964773460370000,Bevitex forte pargeverina 10 mg/mL solución para gotas orales 20 mL,descargada
prod-15691,Bevitex Forte gotas 10 mg/ml 20 ml (Pargeverina Clorhidrato 10 mg/1 ml),Cuidado familiar,Dr. Simi,/products/importadas/prod-15691-bevitex-forte-gotas-10-mg-ml-20-ml-pargeverina-clorhidrato-10-mg-1-ml-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156424/CH5807-1.jpg?v=637964773460370000,Bevitex forte pargeverina 10 mg/mL solución para gotas orales 20 mL,descargada
prod-47367,"Bevitex Compuest gotas 30 ml (Metamizol 300 mg/1 ml, Pargeverina Clorhidrato 5 mg/1 ml)",Cuidado familiar,Dr. Simi,/products/importadas/prod-47367-bevitex-compuest-gotas-30-ml-metamizol-300-mg-1-ml-pargeverina-clorhidrato-5-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156545/CH5909-1.jpg?v=637964773899400000,Bevitex compuesto pargeverina 6 mg/mL metamizol 300 mg/mL solución para gotas orales 30 mL,descargada
prod-49303,"Betametasona crema 0,05% 15 g Curae",Medicamentos,,,,,sin coincidencia segura
prod-32486,Bicarbonato Sodio Pote 100 g Valma,Medicamentos,,,,,sin coincidencia segura
prod-29308,"Bilaten D 16/12,5 x 30 comprimidos (Candesartan 16 mg, Hidroclorotiazida 12,5 mg)",Medicamentos,,,,,sin coincidencia segura
prod-49407,Bigtime Ultra 1 Un,Cuidado familiar,,,,,sin coincidencia segura
prod-28485,Bigtime Menta,Cuidado familiar,,,,,sin coincidencia segura
prod-29996,Bio-oil Aceite 60 ml,Medicamentos,Dr. Simi,/products/importadas/prod-29996-bio-oil-aceite-60-ml-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156631/CH5991-1.jpg?v=637964774201200000,Aceite de almendras puro 60 mL,descargada
prod-49785,Biolly Toall Hum Ultra Soft Un Un,Dermocosmética,,,,,sin coincidencia segura
prod-1335,Bisolvon jarabe Inf 120 ml (Bromhexina 4 mg/5 ml),Medicamentos,,,,,sin coincidencia segura
prod-34592,"Bisopril 1,25 mg 30 comprimidos (Bisoprolol 1,25 mg)",Medicamentos,,,,,sin coincidencia segura
prod-49887,"Biozen Knop 50 comprimidos (Avena 0,4 mg)",Homeopatía,Dr. Simi,/products/importadas/prod-49887-biozen-knop-50-comprimidos-avena-0-4-mg-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157627/CH6107-1.jpg?v=638282695949800000,Biozen 50 comprimidos sublinguales,descargada
prod-49488,Biotina Plus 150 mcg,Cuidado familiar,,,,,sin coincidencia segura
prod-39988,Blistex Bals Lab F-15 Classic,Dermocosmética,,,,,sin coincidencia segura
prod-40677,"Blistex Prot Ultra F-50 Un (Dimeticona, Oxibenzona, Paba)",Dermocosmética,,,,,sin coincidencia segura
prod-50163,Bloqueador solar Banana Boat Advanced Prot 170 g,Protección solar,,,,,sin coincidencia segura
prod-49973,Bisoprolol 5 mg 30 comprimidos,Medicamentos,Dr. Simi,/products/importadas/prod-49973-bisoprolol-5-mg-30-comprimidos-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/159511/Bisoprolol-Fumarato-BE0172-1.jpg?v=638929350370200000,"Bisocor bisoprolol 2,5 mg 30 comprimidos recubiertos",descargada
prod-49889,"Bisoprolol Fumarato 2,5 mg",Medicamentos,,,,,sin coincidencia segura
prod-49460,Bon O Bon Chocolate 15 g,Cuidado familiar,,,,,sin coincidencia segura
prod-49486,Bloqueador solar Banana Boat Balance Dry 170 g,Protección solar,,,,,sin coincidencia segura
prod-40672,"Bonavid gotas 300000 UI 2 ml (Colecalciferol, Vitamina D)",Medicamentos,,,,,sin coincidencia segura
prod-49549,Boston Simplus Lentes 120 ml,Medicamentos,,,,,sin coincidencia segura
prod-49739,"Bromhidrato/Ipratropio 0,05%/0,025% solución Inh 25 ml",Medicamentos,,,,,sin coincidencia segura
prod-7214,"Brontal jarabe Inf 100 ml (Bromexina 1 mg/5 ml, Clofedianol 7 mg/5 ml)",Medicamentos,Dr. Simi,/products/importadas/prod-7214-brontal-jarabe-inf-100-ml-bromexina-1-mg-5-ml-clofedianol-7-mg-5-ml-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157065/CH5892-1.jpg?v=638012015137500000,Brontal bromhexina 1 mg/5 mL clofedanol 7 mg/5 mL jarabe infantil 100 mL,descargada
prod-40261,Bubu Abs Leche 30 Un,Dermocosmética,,,,,sin coincidencia segura
prod-49426,Bruma Refr Fijad Spray 50 ml,Dermocosmética,,,,,sin coincidencia segura
prod-2329,Brooks Talco 120 g,Dermocosmética,,,,,sin coincidencia segura
prod-40053,Bubu Abs Leche 60 Un,Dermocosmética,,,,,sin coincidencia segura
prod-41164,Bupredol 150 mg 60 comprimidos recubiertos LP (Bupropion (Anfebutamona) 150 mg),Medicamentos,,,,,sin coincidencia segura
prod-49860,Cabestrillo Recovery 1 Un,Accesorios,,,,,sin coincidencia segura
prod-49659,Buscapina 10 mg gotas 20 ml (N-butilbromuro De Hioscina (Escopolamina) 10 mg/1 ml),Medicamentos,,,,,sin coincidencia segura
prod-30128,Cachantun con Gas 600 ml,Cuidado familiar,,,,,sin coincidencia segura
prod-30130,Cachantun sin Gas 600 ml,Cuidado familiar,,,,,sin coincidencia segura
prod-50047,Caffeine Max x 60 Cápsulas (Scl) (Cafeina 200 mg),Medicamentos,,,,,sin coincidencia segura
